dataset,batch_size,repetitions,samples,median_batch_us,mean_regret,p95_regret,max_regret,wrong_arm_rate,full_choice_fraction,internal_fallback_fraction,mean_decision_us
ca-GrQc,96,5,380,33.3825,0.039675114238191915,0.20568299859918382,0.8661858974358977,0.0,0.0,0.0,0.1274342105263158
ca-GrQc,384,5,95,144.391,0.02832939011211485,0.13064560360891686,0.523431549123319,0.18947368421052632,0.09473684210526316,0.0,0.15418947368421052
ca-GrQc,1536,5,25,420.807,0.012743727897598853,0.061226563847527116,0.08975739450474184,0.0,1.0,0.0,0.21
soc-Epinions1,384,5,665,132.949,0.010965316375370151,0.08202726497627631,0.25363051748082854,0.0,0.0,0.0,0.15502556390977443
soc-Epinions1,1536,5,170,487.563,0.009634882045001344,0.059900152356321776,0.2621276272570202,0.0,0.0,0.0,0.19614117647058824
soc-Epinions1,6144,5,45,1710.84,0.008629332940952247,0.058005216072480575,0.098489072740989,0.0,0.0,0.0,0.30062222222222224
web-Google,1536,5,170,6883.07,0.03209600658046693,0.15005190166816149,0.24601253769242984,0.0,0.0,0.0,1.0574588235294118
web-Google,6144,5,45,25283.8,0.03767413851386386,0.1851095027045087,0.328991189022115,0.1111111111111111,0.0,0.0,1.0519333333333334
web-Google,24576,5,15,62830.6,0.17476843938529293,0.5442411968156547,0.5479333462119099,0.3333333333333333,0.3333333333333333,0.0,1.0133333333333334
